Name,value
Andrades,0
Espina,0
Verdejo,0
Alcayaga,0
Peñailillo,0
Olivos,0
Monsalves,0
Ubilla,0
Pinochet,0
Isla,0
Angel,0
Anabalon,0
Menares,0
Olavarria,0
Daza,0
Ibaceta,0
Ceron,0
Campillay,0
Coloma,0
Reveco,0
Palominos,0
Ugarte,0
Obando,0
Igor,0
Sanzana,0
Cuadra,0
Jeldres,0
Puentes,0
Pedreros,0
Bascur,0
Caamaño,0
Triviño,0
Covarrubias,0
Cantillana,0
Macaya,0
Negrete,0
Avello,0
Cartagena,0
Cadiz,0
Pezoa,0
Trigo,0
Labbe,0
Asencio,0
Mundaca,0
Guiñez,0
Stuardo,0
Amigo,0
Lavin,0
Benavente,0
Vivar,0
Lecaros,0
Torrealba,0
Pradenas,0
Nilo,0
Monroy,0
Lepe,0
Arriaza,0
Soza,0
Iturriaga,0
Gavilan,0
Maluenda,0
Tamayo,0
Constanzo,0
Ormazabal,0
Iturrieta,0
Morgado,0
Nova,0
Rain,0
Arratia,0
Labarca,0
Larrain,0
Navea,0
Labrin,0
Fajardo,0
Alvial,0
Basualto,0
Cerna,0
Irribarra,0
Amestica,0
Aceituno,0
Navia,0
Oyanedel,0
Celedon,0
Chacana,0
Galarce,0
Asenjo,0
Erazo,0
Duque,0
Rifo,0
Balboa,0
Fritz,0
Oporto,0
Mateluna,0
Recabarren,0
Labraña,0
Aliste,0
Piñones,0
Urtubia,0
Ascencio,0
Hevia,0
Maraboli,0
Zuleta,0
Munizaga,0
Placencia,0
Mallea,0
Santelices,0
Cerpa,0
Subiabre,0
Ñanco,0
Carvacho,0
Bernales,0
Valverde,0
Provoste,0
Meriño,0
Marileo,0
Zambra,0
Devia,0
Rioseco,0
Villaseca,0
Alveal,0
Escarate,0
Ugalde,0
Cereceda,0
Bizama,0
Michea,0
Haro,0
Escobedo,0
Julio,0
Puga,0
Irarrazabal,0
Chiguay,0
Valdenegro,0
Curin,0
Mera,0
Sazo,0
Jaña,0
Barrales,0
Vial,0
Bastidas,0
Bonilla,0
Nahuelpan,0
Villena,0
Canto,0
Monardes,0
Catrileo,0
Cañas,0
Pantoja,0
Crisostomo,0
Guarda,0
Manzo,0
Tirado,0
Calquin,0
Andaur,0
Jarpa,0
Carter,0
Antilef,0
Millanao,0
Pezo,0
Vielma,0
del Pino,0
Mery,0
Tiznado,0
Alamos,0
Aqueveque,0
Betancourt,0
Liberona,0
Portilla,0
Higuera,0
Seron,0
Severino,0
Collio,0
Landeros,0
Antinao,0
Serey,0
Paillan,0
Teran,0
Oses,0
San Juan,0
Friz,0
Orostica,0
Banda,0
Monsalvez,0
Quidel,0
Pastene,0
Vicuña,0
Codoceo,0
Beroiza,0
Arismendi,0
Abello,0
Bahamondez,0
Llanten,0
Cueto,0
Moris,0
Mesias,0
Cabeza,0
Honores,0
Jopia,0
Umaña,0
Atenas,0
Loaiza,0
Canio,0
Trincado,0
Rocco,0
Nahuel,0
del Canto,0
Salfate,0
Antillanca,0
Amaro,0
Sarabia,0
Valdivieso,0
Oliveros,0
Azua,0
Recabal,0
Calisto,0
Zelada,0
Smith,0
Cayuqueo,0
Valderas,0
Basoalto,0
Donaire,0
Almendras,0
Basaez,0
Ossa,0
Grez,0
Pastenes,0
Cayul,0
Argandoña,0
Corona,0
Mariqueo,0
Beiza,0
Barrueto,0
Burdiles,0
Ruminot,0
Almarza,0
Murillo,0
Claveria,0
Manosalva,0
Tellez,0
Utreras,0
Loncon,0
Almuna,0
Gana,0
Dubo,0
Alday,0
Ogalde,0
Paillalef,0
Painen,0
Egaña,0
Contador,0
Pedrero,0
Ravanal,0
Cruzat,0
Tudela,0
Luco,0
Aldana,0
Ocaranza,0
Balladares,0
Saa,0
Balcazar,0
Millalonco,0
Ilabaca,0
Fabres,0
Aillapan,0
Callejas,0
Mandiola,0
Curiqueo,0
Rogel,0
Arraño,0
Saldivar,0
Alcantara,0
Arzola,0
Albarran,0
Zagal,0
Brevis,0
Peredo,0
Delgadillo,0
Frez,0
Bolados,0
Izquierdo,0
Millapan,0
Pimentel,0
Aroca,0
Jamett,0
Quilaqueo,0
Lineros,0
Ogaz,0
Ocares,0
Valeria,0
Huilipan,0
Aniñir,0
Torreblanca,0
Adriazola,0
Bozo,0
Tenorio,0
Oteiza,0
Tejo,0
Abrigo,0
de La Barra,0
Carriel,0
Artigas,0
Mura,0
Cariman,0
Solorza,0
Monardez,0
Undurraga,0
Oyaneder,0
Jeraldo,0
Tilleria,0
Curinao,0
Escanilla,0
Cossio,0
Urquieta,0
Caviedes,0
Higueras,0
Llanquileo,0
Betancur,0
Maya,0
Tejos,0
Gangas,0
Cristi,0
Urriola,0
Arqueros,0
Jeldes,0
Manque,0
Rossel,0
Pichun,0
Landaeta,0
Melin,0
del Campo,0
Flandez,0
Horta,0
Anguita,0
Jelvez,0
Solano,0
Cayun,0
Contardo,0
Villacura,0
Ortuzar,0
Arrue,0
Negron,0
Munita,0
Larrondo,0
Llanquinao,0
Abarza,0
Bucarey,0
González,0
Eyzaguirre,0
Poveda,0
Montanares,0
Antileo,0
Cariqueo,0
Corral,0
Basaure,0
Chaura,0
Iribarren,0
Tagle,0
España,0
Lanas,0
Almendra,0
Lienlaf,0
Gahona,0
Pontigo,0
Huaiquil,0
Matta,0
Silvera,0
de Leon,0
Techera,0
Perdomo,0
Curbelo,0
Bentancor,0
Fagundez,0
Borges,0
Umpierrez,0
Tejera,0
Clavijo,0
Muniz,0
Camejo,0
Corbo,0
Luzardo,0
Souza,0
Leites,0
Bentancur,0
Falero,0
Furtado,0
Cedres,0
de Souza,0
Marrero,0
Machin,0
Fontes,0
Pirez,0
Abreu,0
Ribeiro,0
Mello,0
Collazo,0
Mederos,0
Dutra,0
Nieves,0
Sellanes,0
Rosano,0
Amaral,0
da Costa,0
Deleon,0
Gadea,0
Moraes,0
de Armas,0
Brun,0
Lucas,0
Tabarez,0
Marichal,0
Montes de Oca,0
Noble,0
Sanguinetti,0
Robaina,0
Freitas,0
Gularte,0
Vaz,0
Terra,0
Soca,0
Lema,0
Barcelo,0
Severo,0
Texeira,0
Alonzo,0
Carro,0
Nogueira,0
Trindade,0
Presa,0
Cal,0
Macedo,0
Banchero,0
Pastorino,0
Lemes,0
Sastre,0
Chagas,0
Cuadrado,0
Borba,0
Mattos,0
Caetano,0
Pose,0
Peraza,0
Cuadro,0
Viana,0
Guedes,0
Espino,0
Trias,0
Miraballes,0
Amorin,0
Pais,0
Motta,0
Bentos,0
Berrutti,0
Brum,0
Altez,0
Piñeyro,0
Graña,0
Delossantos,0
Zunino,0
Ruiz Diaz,0
Cancela,0
Souto,0
de Mello,0
Perera,0
Tabeira,0
Arbelo,0
Ribero,0
Hornos,0
Berriel,0
Porto,0
Veiga,0
Martirena,0
Pombo,0
da Luz,0
Francia,0
Rebollo,0
Peluffo,0
Tellechea,0
Geymonat,0
Guadalupe,0
Madruga,0
Dasilva,0
Portela,0
Torena,0
Ferraz,0
Pintado,0
Mieres,0
Bica,0
Coitinho,0
da Cunha,0
Calero,0
Baptista,0
Corujo,0
Melgar,0
Arbiza,0
Irigoyen,0
Medeiros,0
Rondan,0
Recoba,0
Tort,0
Medero,0
Plada,0
Lacuesta,0
Maneiro,0
Tejeira,0
Bandera,0
Esteves,0
Colina,0
Torterolo,0
Porley,0
Rijo,0
Carneiro,0
Braga,0
Leivas,0
Laborde,0
Bentancour,0
Patron,0
Laguna,0
Milan,0
Coitiño,0
Bauza,0
Aguerre,0
Vico,0
Canepa,0
Albano,0
Vignolo,0
del Puerto,0
Madera,0
Pesce,0
Casella,0
Firpo,0
Couto,0
Panizza,0
Abella,0
Pimienta,0
Berrueta,0
Chocho,0
Fros,0
Inzaurralde,0
Baccino,0
Garin,0
Mario,0
Verde,0
Posse,0
Techeira,0
Arocena,0
Cor,0
Rodríguez,0
Fabra,0
Menoni,0
Izaguirre,0
Custodio,0
Coelho,0
Ferron,0
Pedreira,0
Figueira,0
Birriel,0
Puig,0
Santurio,0
Azambuya,0
Serron,0
Felix,0
Leguisamo,0
Vignoli,0
Callero,0
Pelaez,0
Mas,0
Botta,0
Burgueño,0
Ferrando,0
Vique,0
Bentancourt,0
Teliz,0
Long,0
Travieso,0
Ubal,0
Elizalde,0
da Silveira,0
Cua,0
Huelmo,0
Negrin,0
Neves,0
Crosa,0
Noya,0
Mateos,0
Segredo,0
Dotta,0
Irrazabal,0
Siri,0
Pizzorno,0
Posada,0
Mato,0
Revetria,0
Goncalvez,0
Valerio,0
Nalerio,0
Quijano,0
Salaberry,0
Alpuin,0
Bonjour,0
Cotelo,0
Dossantos,0
Montesdeoca,0
Lapaz,0
Malan,0
Alberti,0
Russi,0
Pastorini,0
Calcagno,0
Palleiro,0
Fernández,0
Rovira,0
Oliveri,0
Pellejero,0
Larrañaga,0
Mautone,0
Grassi,0
Mier,0
Vieira,0
Seijas,0
Genta,0
Regueira,0
Albin,0
Dalmao,0
Rial,0
Balbi,0
Montelongo,0
Casuriaga,0
Gandini,0
Ravera,0
Falco,0
de Paula,0
Novo,0
Cantera,0
Charquero,0
Ferreiro,0
Taroco,0
Abelenda,0
Oxley,0
Rama,0
Vilar,0
García,0
Hermida,0
Pisano,0
Prestes,0
Ripoll,0
Tomas,0
Volpi,0
Guigou,0
Bruzzone,0
Menchaca,0
Seoane,0
Ricca,0
Oliver,0
Padron,0
Iguini,0
Otegui,0
Saralegui,0
Cunha,0
Ferre,0
Minetti,0
Pérez,0
Facal,0
Reina,0
de Freitas,0
Olveira,0
Rostan,0
Bagnasco,0
Goncalves,0
Bone,0
Burguez,0
Michelena,0
Porro,0
Choca,0
Bastos,0
Capurro,0
Guichon,0
Ancheta,0
Javier,0
Sandes,0
Feijo,0
Aramburu,0
Lecuna,0
Troche,0
Perdigon,0
Pereda,0
Fumero,0
Xavier,0
Frachia,0
Netto,0
Antelo,0
Decuadro,0
German,0
Cesar,0
Coppola,0
Real,0
Calleros,0
Chiesa,0
Revello,0
Echeveste,0
Guimaraens,0
Scarone,0
Bazzano,0
Tourn,0
Eguren,0
Guillermo,0
Dorrego,0
Gonnet,0
Peirano,0
Uriarte,0
Vecino,0
Noria,0
Rodao,0
Zabaleta,0
Martínez,0
Urioste,0
Rivoir,0
Bertinat,0
Lavega,0
Laureiro,0
Vespa,0
Pagani,0
Miller,0
Telis,0
Teixeira,0
Baz,0
Modernell,0
Fagian,0
Guarino,0
Rolando,0
Gasco,0
Mila,0
Grecco,0
Irigaray,0
Modernel,0
Ottonello,0
Vigo,0
Olid,0
Sencion,0
Etchart,0
Lauz,0
de Castro,0
do Canto,0
Luz,0
Ceriani,0
Garcia da Rosa,0
Cayetano,0
de Cuadro,0
Demarco,0
Clavero,0
Mendizabal,0
Segui,0
Estefan,0
Osores,0
Alcoba,0
Morena,0
de Avila,0
del Castillo,0
Porcal,0
Castiglioni,0
Crossa,0
Perazza,0
Placeres,0
Darosa,0
Rovetta,0
Alzugaray,0
Odriozola,0
Puglia,0
Quesada,0
Betancor,0
Elhordoy,0
Pirotto,0
Ottonelli,0
Juncal,0
Yanes,0
Alayon,0
Corrêa,0
Gorgoroso,0
Picardo,0
Soba,0
Berretta,0
Escobal,0
Fripp,0
Bidegain,0
Dearmas,0
López,0
Oliveira,0
Damiano,0
Cardona,0
Lerena,0
Bergara,0
Cuneo,0
Riva,0
Henderson,0
Alza,0
Echague,0
Armand Ugon,0
Artola,0
Islas,0
Volpe,0
Navas,0
Cedrez,0
Ponce de Leon,0
Sobrera,0
Larrama,0
Zinola,0
Bordenave,0
Porciuncula,0
Buela,0
Feo,0
Garrone,0
Telechea,0
Clara,0
Fontoura,0
Novas,0
Beltrame,0
Maccio,0
Milano,0
de Vargas,0
Pera,0
Meirelles,0
Arballo,0
Balsamo,0
Casavieja,0
Gambetta,0
Queirolo,0
Viña,0
Dorta,0
Amestoy,0
de Oliveira,0
Franca,0
Vasconcellos,0
Coimbra,0
Vidart,0
Acuna,0
Alvariza,0
Jaureguy,0
Poggio,0
Brazeiro,0
Cortazzo,0
Frugoni,0
Beledo,0
Giacosa,0
Migues,0
Vidarte,0
Colo,0
Capote,0
Pedraja,0
Berrondo,0
Bracco,0
Fabre,0
Gabrielli,0
Sire,0
Vallarino,0
Pagola,0
Lista,0
Mezquita,0
Castroman,0
Faccio,0
Rodales,0
Mallada,0
Recuero,0
Garcete,0
Insfran,0
Santacruz,0
Ocampos,0
Gaona,0
Quiñonez,0
Irala,0
Ovelar,0
Delvalle,0
Arevalos,0
Samudio,0
Cabañas,0
Armoa,0
Bogarin,0
Molinas,0
Arzamendia,0
Enciso,0
Penayo,0
Zaracho,0
Cubilla,0
Orue,0
Villamayor,0
Ozuna,0
Ortellado,0
Marecos,0
Monges,0
Escurra,0
Adorno,0
Zorrilla,0
Yegros,0
Aveiro,0
Mancuello,0
Flecha,0
Villasanti,0
Mongelos,0
Servian,0
Gayoso,0
Otazu,0
Esteche,0
Campuzano,0
Venialgo,0
Villasboa,0
Cañiza,0
Ozorio,0
Silguero,0
Lesme,0
Zayas,0
Gill,0
Flor,0
Montania,0
Barua,0
Borja,0
Cuba,0
Jacquet,0
Resquin,0
Matto,0
Larroza,0
Grance,0
Genes,0
Urbieta,0
Chena,0
Cohene,0
Olazar,0
Molas,0
Aponte,0
Cazal,0
Notario,0
Achucarro,0
Careaga,0
Genez,0
Isasi,0
Sanguina,0
Rejala,0
Añazco,0
Mencia,0
Cubas,0
Ramoa,0
Pesoa,0
Gayozo,0
Guanes,0
Fretez,0
Meaurio,0
Zotelo,0
Diarte,0
Leite,0
Florenciano,0
Hermosa,0
Yahari,0
Urunaga,0
Algarin,0
Presentado,0
Paredez,0
Mallorquin,0
Doldan,0
Ullon,0
Collante,0
Ricardo,0
Boveda,0
Miltos,0
Argaña,0
Achar,0
Legal,0
Piñanez,0
Villordo,0
Alen,0
Bracho,0
Guerreño,0
Belotto,0
Orquiola,0
Uliambre,0
Diana,0
Fleytas,0
Benega,0
Curtido,0
Garayo,0
Carisimo,0
Lesmo,0
Wiebe,0
Florenciañez,0
Azuaga,0
Orihuela,0
Llano,0
Feltes,0
Chilavert,0
Forcado,0
Giesbrecht,0
Valdovinos,0
Sotto,0
Cartaman,0
Maqueda,0
Calonga,0
Pico,0
Noceda,0
Balmori,0
Otazo,0
Zaragoza,0
Faria,0
Larramendia,0
Mascareño,0
Mazacotte,0
Solalinde,0
Klassen,0
Harder,0
Bedoya,0
Azcona,0
Sawatzky,0
Arza,0
Cibils,0
Coronil,0
Candado,0
Mosqueira,0
Uran,0
Toews,0
Becker,0
Rondon,0
Marcano,0
Tovar,0
Colmenares,0
Rangel,0
Urdaneta,0
Montilla,0
Chirinos,0
Bolivar,0
Cedeño,0
Morillo,0
Rincon,0
Colmenarez,0
Mata,0
Valera,0
Fuenmayor,0
Graterol,0
Nava,0
Uzcategui,0
Sequera,0
Perozo,0
Figuera,0
Valero,0
Oropeza,0
Yepez,0
Azuaje,0
Pirela,0
Solorzano,0
Yanez,0
Palmar,0
Guedez,0
Malave,0
Lozada,0
Pernia,0
Araque,0
Chacin,0
Villamizar,0
Carrero,0
Mota,0
Viloria,0
Bastardo,0
Alcala,0
Mejia,0
Villasmil,0
Maita,0
Palencia,0
Aular,0
Sulbaran,0
Marchan,0
Matos,0
Requena,0
Gamez,0
Querales,0
Linarez,0
Ascanio,0
Pulido,0
Aranguren,0
Camacaro,0
Caldera,0
Sifontes,0
Cova,0
Vegas,0
Mosquera,0
Laya,0
Carrasquel,0
Mijares,0
Valbuena,0
Mogollon,0
Niño,0
Fermin,0
Lezama,0
Galindez,0
Chourio,0
Petit,0
Matute,0
Añez,0
Guanipa,0
Rengel,0
Boscan,0
Rengifo,0
Matheus,0
Dugarte,0
Freites,0
Quero,0
Finol,0
Subero,0
Belisario,0
Puerta,0
Armas,0
Altuve,0
Balza,0
Larez,0
Canelon,0
Molero,0
Piñango,0
Arrieche,0
Natera,0
Freitez,0
Calzadilla,0
Valles,0
Maestre,0
Carrasquero,0
Primera,0
Urbano,0
Labrador,0
Marval,0
Ocando,0
Sivira,0
Bellorin,0
Useche,0
Aray,0
Sojo,0
Olivo,0
Rincones,0
Loyo,0
Vallenilla,0
Tineo,0
Mariño,0
Sevilla,0
Florez,0
Pabon,0
Manzanilla,0
Cañizalez,0
Valecillos,0
Porras,0
Bohorquez,0
Arcia,0
Marquina,0
Zarraga,0
Sira,0
Boada,0
Cadenas,0
Angarita,0
Gonçalves,0
Urbaneja,0
La Rosa,0
Sucre,0
Granado,0
Orta,0
Mirabal,0
Febres,0
Rosario,0
Arreaza,0
Granadillo,0
Ovalles,0
Coa,0
Guilarte,0
Ocanto,0
Prada,0
Sotillo,0
Berroteran,0
Goitia,0
Tarazona,0
Omaña,0
Bencomo,0
Mosqueda,0
Arocha,0
Timaure,0
Peroza,0
Loreto,0
Melean,0
Alviarez,0
Goyo,0
Buitrago,0
Mayora,0
Arcila,0
Lameda,0
Iguaran,0
Caicedo,0
Galvis,0
Dorante,0
Santaella,0
Utrera,0
Rujano,0
Mavarez,0
Ospino,0
Pernalete,0
Cubillan,0
Jaspe,0
Semprun,0
Moron,0
Rada,0
Perales,0
Reverol,0
Ordaz,0
Ollarves,0
Ugas,0
Rendon,0
Merchan,0
Malpica,0
Belandria,0
Blanca,0
Padrino,0
Alejos,0
Granados,0
Sangronis,0
Prato,0
Liscano,0
La Cruz,0
Anzola,0
Montañez,0
Ron,0
Barazarte,0
Cumana,0
Cuicas,0
Uriana,0
de Sousa,0
Borjas,0
Monasterio,0
Madriz,0
Lunar,0
Rosendo,0
Olivar,0
Lacruz,0
Cardoza,0
Colon,0
Maurera,0
Arvelo,0
Andara,0
Vizcaya,0
Polo,0
Ramones,0
Sanoja,0
Daboin,0
Cegarra,0
Materan,0
Galue,0
de La Rosa,0
Ravelo,0
Montilva,0
Idrogo,0
Duno,0
Gavidia,0
Miquilena,0
Yajure,0
Almao,0
Giron,0
Vilera,0
Inciarte,0
Caña,0
Nelo,0
Materano,0
Asuaje,0
Brazon,0
Chinchilla,0
Revilla,0
Ariza,0
Canache,0
Urbaez,0
Suniaga,0
Casique,0
Rosal,0
Virguez,0
Tua,0
Veloz,0
Arraiz,0
de Abreu,0
Simancas,0
Antequera,0
Llovera,0
Cermeño,0
Inojosa,0
Fereira,0
Agreda,0
Ortuño,0
Mago,0
Calles,0
Mantilla,0
Corredor,0
Estanga,0
Baron,0
Vanegas,0
Corro,0
Pinzon,0
Parejo,0
Vicent,0
Siso,0
Sumoza,0
Amundaray,0
Morles,0
Carruyo,0
Coello,0
Cañizales,0
Cantillo,0
Marrufo,0
Tocuyo,0
Peñalver,0
Pedroza,0
Griman,0
Raga,0
Tortolero,0
Abad,0
Naveda,0
Gascon,0
Luces,0
Adrian,0
Jordan,0
Toyo,0
Troconis,0
Morocoima,0
Vizcaino,0
Lares,0
Ipuana,0
Pastran,0
Ardila,0
Santeliz,0
Bandres,0
Regalado,0
Puche,0
Socorro,0
Manaure,0
Monagas,0
Izarra,0
Montesinos,0
Galicia,0
Ostos,0
Caruci,0
Borrero,0
Bruzual,0
Urribarri,0
Rumbos,0
Isturiz,0
Indriago,0
Frontado,0
Esparragoza,0
Ladera,0
Valor,0
Villasana,0
Rattia,0
Urrieta,0
Mundarain,0
Solarte,0
Mavares,0
Pire,0
Reveron,0
Sandrea,0
Soteldo,0
Roque,0
Cartaya,0
Barco,0
Catari,0
Camero,0
Monasterios,0
Cohen,0
Rea,0
Moronta,0
Galea,0
Escorche,0
Garcias,0
Oberto,0
Itriago,0
Pichardo,0
Anton,0
Mireles,0
Justo,0
Piñate,0
Cambero,0
Gomes,0
Verenzuela,0
Isea,0
Faneite,0
Epieyu,0
Longa,0
Lanza,0
Morey,0
Cadena,0
Beria,0
Urquiola,0
Gelvez,0
Peinado,0
Larreal,0
Depablos,0
Berrio,0
Carias,0
Chauran,0
Maican,0
Basanta,0
Nadales,0
Bonalde,0
Marchena,0
Rosillo,0
Quiaro,0
Abache,0
Cambar,0
Esqueda,0
Parraga,0
Pirona,0
Lanz,0
Sambrano,0
Tablante,0
Golindano,0
Amundarain,0
Morao,0
Camico,0
Palmera,0
Ladino,0
Maiz,0
Vergel,0
Oquendo,0
Pargas,0
Seco,0
David,0
Lizcano,0
Moros,0
Guacaran,0
Arcaya,0
Lizardo,0
Malaver,0
Leonett,0
Acurero,0
Villafranca,0
Ballestero,0
Estaba,0
Lujano,0
Guaina,0
Barroeta,0
Borrego,0
Ereu,0
Sanguino,0
Cuauro,0
Ynfante,0
Villazana,0
Ceballo,0
Ulacio,0
Hermoso,0
Yeguez,0
Gamardo,0
Caripe,0
de La Hoz,0
Semeco,0
Paradas,0
Arguelles,0
Lobaton,0
Canelones,0
Salmeron,0
Adames,0
Adan,0
Bolaño,0
Arraez,0
Echezuria,0
Coraspe,0
Pestana,0
Barcenas,0
Amesty,0
Giraldo,0
Caridad,0
Fernandes,0
Cumare,0
Torrelles,0
Yovera,0
Villahermosa,0
Granda,0
Afanador,0
Morantes,0
Castejon,0
Rausseo,0
Duerto,0
Pachano,0
Andueza,0
Gotopo,0
Lizarazo,0
Aguilarte,0
Curiel,0
Briñez,0
Odreman,0
Alastre,0
Bordones,0
Restrepo,0
Londoño,0
Ospina,0
Agudelo,0
Henao,0
Arango,0
Forero,0
Serna,0
Alzate,0
Gaviria,0
Arboleda,0
Bolaños,0
Rosero,0
Murcia,0
Espitia,0
Zuluaga,0
Riascos,0
Castrillon,0
Triana,0
Yepes,0
Urrego,0
Velandia,0
Burbano,0
Olaya,0
Hincapie,0
Orjuela,0
Anaya,0
Villamil,0
Renteria,0
Riaño,0
Grajales,0
Aristizabal,0
Cuervo,0
Marulanda,0
Castiblanco,0
Piedrahita,0
Paternina,0
Holguin,0
Pulgarin,0
Rozo,0
Durango,0
Pushaina,0
Mahecha,0
Villada,0
Grisales,0
Baquero,0
Cervantes,0
Cuero,0
Blandon,0
Botero,0
Huertas,0
Echeverry,0
Saldarriaga,0
Rubiano,0
Mina,0
Tobon,0
Molano,0
Fontalvo,0
Estupiñan,0
Mazo,0
Carabali,0
Echeverri,0
Arroyave,0
Calle,0
Penagos,0
Escorcia,0
Higuita,0
Colorado,0
Rua,0
Isaza,0
Echavarria,0
Usuga,0
Lasso,0
Pachon,0
Buelvas,0
Atehortua,0
Quiceno,0
Lopera,0
Varon,0
Cañon,0
Pertuz,0
Asprilla,0
Mateus,0
Robayo,0
Guarin,0
Sinisterra,0
Trejos,0
Bayona,0
Olarte,0
Casallas,0
Delahoz,0
Tapias,0
Cadavid,0
Carrascal,0
Cristancho,0
Payares,0
Preciado,0
Sabogal,0
Piñeros,0
Delacruz,0
Charris,0
Abril,0
Cabarcas,0
Collazos,0
Almanza,0
Arbelaez,0
Beleño,0
Tique,0
Cataño,0
Garavito,0
Arciniegas,0
Castilla,0
Bocanegra,0
Hinestroza,0
Chica,0
Largo,0
Cogollo,0
Morelo,0
Chaverra,0
Peñaranda,0
Villadiego,0
Redondo,0
Botina,0
Mojica,0
Acero,0
Chavarro,0
Montalvo,0
Laverde,0
Villareal,0
Doria,0
Barajas,0
Ibarguen,0
Losada,0
Granada,0
Barrero,0
Balanta,0
Jojoa,0
Plazas,0
Montealegre,0
Herazo,0
Munera,0
Tangarife,0
Jaraba,0
Fandiño,0
Cuartas,0
Puello,0
Samboni,0
Pajaro,0
Cubides,0
Anacona,0
Noreña,0
Manjarres,0
Epinayu,0
Ciro,0
Capera,0
Plata,0
Villota,0
Cely,0
Getial,0
Cuadros,0
Camelo,0
Coral,0
Tafur,0
Criollo,0
Manjarrez,0
Buritica,0
Otalora,0
Suaza,0
Malagon,0
Perilla,0
Marrugo,0
Otalvaro,0
Marroquin,0
Polania,0
Vides,0
Baena,0
Mondragon,0
Pallares,0
Tapiero,0
Delarosa,0
Muriel,0
Lora,0
Posso,0
Vela,0
Victoria,0
Altamar,0
Mestra,0
Lucumi,0
Imbachi,0
Ballen,0
Peñuela,0
Roncancio,0
Epiayu,0
Yate,0
Yela,0
Sarria,0
Dueñas,0
Urango,0
Charry,0
Trochez,0
Agamez,0
Cantor,0
Artunduaga,0
Pareja,0
Camayo,0
Lancheros,0
Feria,0
Perlaza,0
Bertel,0
Parrado,0
Atencia,0
Serrato,0
Cuaran,0
Wilches,0
Jusayu,0
Agredo,0
Berdugo,0
Simanca,0
Grueso,0
Benjumea,0
Manco,0
Petro,0
Monterrosa,0
Idarraga,0
Donado,0
Serpa,0
Areiza,0
Causil,0
Cerquera,0
Rodelo,0
Tamara,0
Ortegon,0
Pava,0
Amador,0
